순위,관광지ID,관광지명,분류,주소,행정동
1,4c259dd1d968533026e3c9a60cc4c34a,서울숲,문화관광,서울 성동구 성수동1가 678-1,성수1가1동
2,af1cf537a87e6f3fccb8fdb18a08fed5,CGV/왕십리,문화관광,서울 성동구 행당동 168-151,행당1동
3,9a660c68fa635c3e9c4ebb8190de897e,마장축산물시장,쇼핑,서울 성동구 마장동 439-1,마장동
4,9b7380707ef3971a6f5d54133c1d5ae2,메가박스/성수,문화관광,서울 성동구 성수동1가 656-335,성수1가1동
5,17fa13c5f566918730f0f1d8a2ac2759,금남시장,쇼핑,서울 성동구 금호동3가 326,금호2·3가동
6,ea46c642f9a17c594ececca15acbfa14,응봉산팔각정,역사관광,서울 성동구 금호동4가 1540,금호4가동
7,e37c55f69380098cd62aa7204a898c2f,비트플렉스,쇼핑,서울 성동구 행당동 168-151,행당1동
8,25c8763d77a3bb57ce9914c5d5940176,에스팩토리,문화관광,서울 성동구 성수동2가 273-13,성수2가1동
9,3159e6f83bb4424a1961ae11da2b19a8,그라운드시소/성수,문화관광,서울 성동구 성수동2가 280-6,성수2가1동
10,669e8a1aec121433965c773b86d65ea9,소월아트홀,문화관광,서울 성동구 행당동 142-16,행당1동
11,fce76361a49241221be3e4c05e970d4b,LCDC SEOUL,문화관광,서울 성동구 성수동2가 275-28,성수2가1동
12,84a80adc2094bd3eb35332d761b8def8,서울숲씨어터,문화관광,서울 성동구 성수동1가 685-696,성수1가1동
13,5fce20db20b14421ab89508e69b362c8,이마트/성수점,쇼핑,서울 성동구 행당동 168-151,행당1동
14,4eabc00479daa76d6addcbdd51cd5cf1,디엣지아이스링크,레저스포츠,서울 성동구 용답동 227-1,용답동
15,1ee13b689cad097c1e4d883d2271564d,성수아트홀,문화관광,서울 성동구 성수동1가 656-323,성수1가1동
16,b90f34dea8bf75af30947d246987fdc0,이마트/왕십리점,쇼핑,서울 성동구 행당동 168-151,행당1동
18,199037690566bbe06679fed1fd142a72,디뮤지엄,문화관광,서울 성동구 성수동1가 685-700,성수1가1동
20,e8b626212fe5aa6c4edaa2b098768a68,피치스도원,문화관광,서울 성동구 성수동2가 301-16,성수2가1동
21,02e0ed58e0e6f56896f206a6fd9024e8,누디트/서울숲,문화관광,서울 성동구 성수동1가 656-1232,성수1가1동
22,a72a418ffeead711f99eb0ac08a532aa,응봉산암벽공원,문화관광,서울 성동구 응봉동 269-4,응봉동
24,b3c3b9a56339baec4f9723f29e7ea9c8,성수낙낙,문화관광,서울 성동구 성수동2가 280,성수2가1동
25,5805e952a7f7f32adb3f308169958bc1,뚝도청춘시장,쇼핑,서울 성동구 성수동2가 335-16,성수2가1동
26,717fc579069265f390dacabb09e45eff,성수문화예술마당,문화관광,서울 성동구 성수동1가 683,성수1가1동
27,ffdbb7cb23d98fad9a1c3dbbcf1e8247,청계천박물관,문화관광,서울 성동구 마장동 527-4,마장동
29,294cd41f6212dbad0a590a7edd53724b,성수연방,문화관광,서울 성동구 성수동2가 322-4,성수2가1동
