업종명_통합,트렌드_키워드,기간,검색량_비율
중식-딤섬/중식만두,딤섬 맛집,2022-12-26,28.97843
중식-딤섬/중식만두,딤섬 맛집,2023-01-02,51.03952
중식-딤섬/중식만두,딤섬 맛집,2023-01-09,43.66016
중식-딤섬/중식만두,딤섬 맛집,2023-01-16,43.24948
중식-딤섬/중식만두,딤섬 맛집,2023-01-23,39.39938
중식-딤섬/중식만두,딤섬 맛집,2023-01-30,28.49075
중식-딤섬/중식만두,딤섬 맛집,2023-02-06,62.82084
중식-딤섬/중식만두,딤섬 맛집,2023-02-13,100.0
중식-딤섬/중식만두,딤섬 맛집,2023-02-20,45.57238
중식-딤섬/중식만두,딤섬 맛집,2023-02-27,40.56724
중식-딤섬/중식만두,딤섬 맛집,2023-03-06,33.21355
중식-딤섬/중식만두,딤섬 맛집,2023-03-13,25.98819
중식-딤섬/중식만두,딤섬 맛집,2023-03-20,24.14014
중식-딤섬/중식만두,딤섬 맛집,2023-03-27,28.65759
중식-딤섬/중식만두,딤섬 맛집,2023-04-03,33.72689
중식-딤섬/중식만두,딤섬 맛집,2023-04-10,31.46817
중식-딤섬/중식만두,딤섬 맛집,2023-04-17,27.20739
중식-딤섬/중식만두,딤섬 맛집,2023-04-24,24.96149
중식-딤섬/중식만두,딤섬 맛집,2023-05-01,43.14681
중식-딤섬/중식만두,딤섬 맛집,2023-05-08,24.15297
중식-딤섬/중식만두,딤섬 맛집,2023-05-15,20.50821
중식-딤섬/중식만두,딤섬 맛집,2023-05-22,32.86704
중식-딤섬/중식만두,딤섬 맛집,2023-05-29,24.57648
중식-딤섬/중식만두,딤섬 맛집,2023-06-05,22.18942
중식-딤섬/중식만두,딤섬 맛집,2023-06-12,23.53696
중식-딤섬/중식만두,딤섬 맛집,2023-06-19,22.26642
중식-딤섬/중식만두,딤섬 맛집,2023-06-26,20.93172
중식-딤섬/중식만두,딤섬 맛집,2023-07-03,21.3039
중식-딤섬/중식만두,딤섬 맛집,2023-07-10,23.10061
중식-딤섬/중식만두,딤섬 맛집,2023-07-17,26.55287
중식-딤섬/중식만두,딤섬 맛집,2023-07-24,23.53696
중식-딤섬/중식만두,딤섬 맛집,2023-07-31,29.41478
중식-딤섬/중식만두,딤섬 맛집,2023-08-07,29.32494
중식-딤섬/중식만두,딤섬 맛집,2023-08-14,27.38706
중식-딤섬/중식만두,딤섬 맛집,2023-08-21,23.60112
중식-딤섬/중식만두,딤섬 맛집,2023-08-28,22.80544
중식-딤섬/중식만두,딤섬 맛집,2023-09-04,34.81776
중식-딤섬/중식만두,딤섬 맛집,2023-09-11,33.94507
중식-딤섬/중식만두,딤섬 맛집,2023-09-18,32.13552
중식-딤섬/중식만두,딤섬 맛집,2023-09-25,27.65657
중식-딤섬/중식만두,딤섬 맛집,2023-10-02,27.69507
중식-딤섬/중식만두,딤섬 맛집,2023-10-09,26.18069
중식-딤섬/중식만두,딤섬 맛집,2023-10-16,35.3311
중식-딤섬/중식만두,딤섬 맛집,2023-10-23,28.01591
중식-딤섬/중식만두,딤섬 맛집,2023-10-30,25.44917
중식-딤섬/중식만두,딤섬 맛집,2023-11-06,44.89219
중식-딤섬/중식만두,딤섬 맛집,2023-11-13,24.20431
중식-딤섬/중식만두,딤섬 맛집,2023-11-20,26.5272
중식-딤섬/중식만두,딤섬 맛집,2023-11-27,35.69045
중식-딤섬/중식만두,딤섬 맛집,2023-12-04,27.7079
중식-딤섬/중식만두,딤섬 맛집,2023-12-11,29.82546
중식-딤섬/중식만두,딤섬 맛집,2023-12-18,75.20533
중식-딤섬/중식만두,딤섬 맛집,2023-12-25,88.15451
중식-딤섬/중식만두,딤섬 맛집,2024-01-01,54.32494
중식-딤섬/중식만두,딤섬 맛집,2024-01-08,44.46868
중식-딤섬/중식만두,딤섬 맛집,2024-01-15,34.08624
중식-딤섬/중식만두,딤섬 맛집,2024-01-22,31.05749
중식-딤섬/중식만두,딤섬 맛집,2024-01-29,28.42659
중식-딤섬/중식만두,딤섬 맛집,2024-02-05,26.5272
중식-딤섬/중식만두,딤섬 맛집,2024-02-12,30.51848
중식-딤섬/중식만두,딤섬 맛집,2024-02-19,30.13347
중식-딤섬/중식만두,딤섬 맛집,2024-02-26,29.94096
중식-딤섬/중식만두,딤섬 맛집,2024-03-04,27.48973
중식-딤섬/중식만두,딤섬 맛집,2024-03-11,32.75154
중식-딤섬/중식만두,딤섬 맛집,2024-03-18,39.24537
중식-딤섬/중식만두,딤섬 맛집,2024-03-25,29.40195
중식-딤섬/중식만두,딤섬 맛집,2024-04-01,22.8696
중식-딤섬/중식만두,딤섬 맛집,2024-04-08,28.20841
중식-딤섬/중식만두,딤섬 맛집,2024-04-15,23.30595
중식-딤섬/중식만두,딤섬 맛집,2024-04-22,32.17402
중식-딤섬/중식만두,딤섬 맛집,2024-04-29,33.11088
중식-딤섬/중식만두,딤섬 맛집,2024-05-06,28.25975
중식-딤섬/중식만두,딤섬 맛집,2024-05-13,29.58162
중식-딤섬/중식만두,딤섬 맛집,2024-05-20,24.98716
중식-딤섬/중식만두,딤섬 맛집,2024-05-27,26.92505
중식-딤섬/중식만두,딤섬 맛집,2024-06-03,31.17299
중식-딤섬/중식만두,딤섬 맛집,2024-06-10,23.07494
중식-딤섬/중식만두,딤섬 맛집,2024-06-17,27.33572
중식-딤섬/중식만두,딤섬 맛집,2024-06-24,27.38706
중식-딤섬/중식만두,딤섬 맛집,2024-07-01,27.50256
중식-딤섬/중식만두,딤섬 맛집,2024-07-08,30.63398
중식-딤섬/중식만두,딤섬 맛집,2024-07-15,27.61806
중식-딤섬/중식만두,딤섬 맛집,2024-07-22,28.08008
중식-딤섬/중식만두,딤섬 맛집,2024-07-29,28.72176
중식-딤섬/중식만두,딤섬 맛집,2024-08-05,28.91427
중식-딤섬/중식만두,딤섬 맛집,2024-08-12,27.6694
중식-딤섬/중식만두,딤섬 맛집,2024-08-19,28.95277
중식-딤섬/중식만두,딤섬 맛집,2024-08-26,29.72279
중식-딤섬/중식만두,딤섬 맛집,2024-09-02,22.7541
중식-딤섬/중식만두,딤섬 맛집,2024-09-09,25.77002
중식-딤섬/중식만두,딤섬 맛집,2024-09-16,34.67659
중식-딤섬/중식만두,딤섬 맛집,2024-09-23,34.27874
중식-딤섬/중식만두,딤섬 맛집,2024-09-30,92.91581
중식-딤섬/중식만두,딤섬 맛집,2024-10-07,75.77002
중식-딤섬/중식만두,딤섬 맛집,2024-10-14,61.22946
중식-딤섬/중식만두,딤섬 맛집,2024-10-21,46.72741
중식-딤섬/중식만두,딤섬 맛집,2024-10-28,51.68121
중식-딤섬/중식만두,딤섬 맛집,2024-11-04,52.96457
중식-딤섬/중식만두,딤섬 맛집,2024-11-11,44.58418
중식-딤섬/중식만두,딤섬 맛집,2024-11-18,39.75872
중식-딤섬/중식만두,딤섬 맛집,2024-11-25,36.60164
중식-딤섬/중식만두,딤섬 맛집,2024-12-02,34.15041
중식-딤섬/중식만두,딤섬 맛집,2024-12-09,33.20071
중식-딤섬/중식만두,딤섬 맛집,2024-12-16,42.8388
중식-딤섬/중식만두,딤섬 맛집,2024-12-23,51.59137
중식-딤섬/중식만두,딤섬 맛집,2024-12-30,42.03028
중식-딤섬/중식만두,냉동 딤섬,2022-12-26,0.79568
중식-딤섬/중식만두,냉동 딤섬,2023-01-02,1.10369
중식-딤섬/중식만두,냉동 딤섬,2023-01-09,1.10369
중식-딤섬/중식만두,냉동 딤섬,2023-01-16,1.05236
중식-딤섬/중식만두,냉동 딤섬,2023-01-23,0.98819
중식-딤섬/중식만두,냉동 딤섬,2023-01-30,0.92402
중식-딤섬/중식만두,냉동 딤섬,2023-02-06,1.69404
중식-딤섬/중식만두,냉동 딤섬,2023-02-13,1.2962
중식-딤섬/중식만두,냉동 딤섬,2023-02-20,1.10369
중식-딤섬/중식만두,냉동 딤섬,2023-02-27,9.72792
중식-딤섬/중식만두,냉동 딤섬,2023-03-06,10.65195
중식-딤섬/중식만두,냉동 딤섬,2023-03-13,1.91221
중식-딤섬/중식만두,냉동 딤섬,2023-03-20,1.2962
중식-딤섬/중식만두,냉동 딤섬,2023-03-27,0.93685
중식-딤섬/중식만두,냉동 딤섬,2023-04-03,1.4502
중식-딤섬/중식만두,냉동 딤섬,2023-04-10,1.18069
중식-딤섬/중식만두,냉동 딤섬,2023-04-17,1.07802
중식-딤섬/중식만두,냉동 딤섬,2023-04-24,0.78285
중식-딤섬/중식만두,냉동 딤섬,2023-05-01,1.02669
중식-딤섬/중식만두,냉동 딤섬,2023-05-08,0.92402
중식-딤섬/중식만두,냉동 딤섬,2023-05-15,0.59034
중식-딤섬/중식만두,냉동 딤섬,2023-05-22,1.06519
중식-딤섬/중식만두,냉동 딤섬,2023-05-29,0.59034
중식-딤섬/중식만두,냉동 딤섬,2023-06-05,0.42351
중식-딤섬/중식만두,냉동 딤섬,2023-06-12,0.61601
중식-딤섬/중식만두,냉동 딤섬,2023-06-19,0.79568
중식-딤섬/중식만두,냉동 딤섬,2023-06-26,0.75718
중식-딤섬/중식만두,냉동 딤섬,2023-07-03,0.51334
중식-딤섬/중식만두,냉동 딤섬,2023-07-10,0.82135
중식-딤섬/중식만두,냉동 딤섬,2023-07-17,0.77002
중식-딤섬/중식만두,냉동 딤섬,2023-07-24,0.73151
중식-딤섬/중식만두,냉동 딤섬,2023-07-31,0.91119
중식-딤섬/중식만두,냉동 딤섬,2023-08-07,0.83418
중식-딤섬/중식만두,냉동 딤섬,2023-08-14,0.66735
중식-딤섬/중식만두,냉동 딤섬,2023-08-21,0.74435
중식-딤섬/중식만두,냉동 딤섬,2023-08-28,0.98819
중식-딤섬/중식만두,냉동 딤섬,2023-09-04,0.93685
중식-딤섬/중식만두,냉동 딤섬,2023-09-11,1.18069
중식-딤섬/중식만두,냉동 딤섬,2023-09-18,0.97535
중식-딤섬/중식만두,냉동 딤섬,2023-09-25,0.59034
중식-딤섬/중식만두,냉동 딤섬,2023-10-02,1.23203
중식-딤섬/중식만두,냉동 딤섬,2023-10-09,0.97535
중식-딤섬/중식만두,냉동 딤섬,2023-10-16,1.4502
중식-딤섬/중식만두,냉동 딤섬,2023-10-23,0.83418
중식-딤섬/중식만두,냉동 딤섬,2023-10-30,1.09086
